	001_V2	010_V2	015_V2	017_V2	024_V2	028_V2	034_V2	040_V2	042_V2	043_V2
ENSG00000107242	1.945463514	2.975503594	2.284444902	3.452579006	1.690570729	2.448986389	1.884581706	3.303120139	4.238472391	2.658682043
ENSG00000107249	4.286614522	1.602194243	2.049281456	1.791432503	2.519281871	1.620098688	1.78178634	1.926820081	4.589022739	3.085384099
ENSG00000107262	65.32141052	75.18868698	66.21530739	68.17214963	77.26902685	65.82121879	75.52032873	64.37151985	66.66830257	62.46261639
ENSG00000107263	110.1659932	93.88095315	101.9265564	80.51674815	90.36266289	86.61876474	61.23177288	99.25089561	116.2552427	128.3716725
ENSG00000107281	88.43615498	55.27570139	74.74838099	54.1338331	76.44031571	42.46165631	53.45359021	51.47362217	100.1936631	88.62273476
ENSG00000107282	8.210515507	6.065449635	8.197125826	6.188585012	6.629689134	6.405041325	7.29847097	8.100508913	8.253867287	8.63251083
ENSG00000107290	75.74118121	68.24584526	71.45609275	59.76870261	74.2525183	62.76940499	59.75837264	63.15251123	78.65075083	76.67507718
ENSG00000107295	0.296765621	0.19073741	0.369542558	0.195429	0.066296891	0.301413709	0.71956756	0.393228588	0.286813921	0.361055586
ENSG00000107317	16.81671851	19.79854315	77.77191101	17.16518053	11.07158085	56.25133352	44.20200729	17.69528646	50.8935369	21.92592104
ENSG00000107331	67.03605633	68.09325533	82.71034337	70.61501213	69.77747813	68.45858875	35.97837802	63.82099983	100.926632	87.17851241
ENSG00000107338	3.528213491	3.85289568	4.736863694	4.071437508	3.248547675	3.466257658	3.769163412	4.797388773	4.04726311	5.251717615
ENSG00000107341	76.49958224	66.22402872	75.01713922	51.9189711	75.57845612	72.94211768	61.36883337	71.9608316	76.80239445	80.35127951
ENSG00000107362	10.84843214	10.29982013	11.95974096	8.924591017	10.50805728	12.01887166	7.983773409	10.69581759	13.7352	10.14237964
ENSG00000107371	13.45337481	12.35978416	11.79176707	11.07431002	13.3588236	12.28260866	11.68440658	13.99893773	13.9582775	12.4400061
ENSG00000107372	249.2171735	127.2981474	217.8957299	105.6619462	191.4654222	124.3331551	114.7538933	118.8730021	197.2961096	177.311116
ENSG00000107404	75.47738954	71.25949634	73.80772721	64.45899862	75.41271389	72.11322998	57.77099557	72.94390307	88.72110629	86.75181036
ENSG00000107438	98.32834234	61.98965822	78.30942746	50.8115401	91.85434295	65.5574818	66.71419239	52.02414219	89.64528448	61.70768198
ENSG00000107443	7.814828013	8.354298554	8.096341492	6.514300012	7.690439395	8.213523582	6.784494141	9.752068982	10.51651044	7.910399658
ENSG00000107485	8.045645718	5.722122297	11.2878454	5.016011009	5.800977992	19.02674041	5.962131215	12.38670052	6.182433412	8.337101714
ENSG00000107518	0.329739579	0.038147482	0.16797389	0.065143	0.23203912	0.226060282	0.17132561	0.117968576	1.402201392	0.361055586
ENSG00000107521	80.5224051	64.24035965	65.91295438	53.9058326	67.09245403	58.54961305	53.72771118	57.56866528	74.89030164	72.0141778
ENSG00000107537	109.1108266	110.4369603	114.692572	129.7648562	120.3620062	123.165177	134.3878082	128.7037168	108.2881894	111.7302923
ENSG00000107551	104.5604204	86.86181647	58.08537112	77.09674064	147.0133565	77.35029318	51.15782704	74.04494312	105.1651044	88.06473976
ENSG00000107554	32.083661	19.49336329	22.54209602	19.51032854	26.4193112	18.34855956	16.03607706	19.85804369	34.83195732	26.71811337
ENSG00000107560	30.53388498	29.2209712	27.24536494	21.10633204	29.36952286	28.06915169	25.18486462	31.53693276	37.70009653	34.62851303
ENSG00000107562	611.4031267	242.8087228	382.6781159	289.4303495	402.3226851	350.0920235	356.1174122	219.3822292	524.3595843	419.3496516
ENSG00000107566	46.09759309	53.86424456	45.95765627	41.59380558	45.9437457	42.57468646	43.65376533	47.06946198	48.02539769	52.97670144
ENSG00000107581	200.6795075	194.4758631	203.3491911	160.1214943	178.9021613	161.595425	102.9666914	223.7077437	245.8632669	240.6271365
ENSG00000107593	0.263791663	0.152589928	0.436732114	0.456001001	0.165742228	0.188383568	0.205590732	0.31458287	0.127472854	0.06564647
ENSG00000107611	9.529473822	5.302499995	8.398694493	2.898863505	5.038563741	3.99373165	3.803428534	4.522128762	8.317603714	7.418051132
